rank,forma,colocacion,muestra,cubierto,gaps_servidos,exceso,n_gaps_error,densidad,incertidumbre_anchura_media,n_componentes_periodicas,conecta_a1,conecta_a2,mallabilidad,motivo_mallado
51,square,8,0,0.6116095756602441,1.0,6.01180969825955,5,0.70550537109375,0.03135671094059944,,,,no_evaluada,
52,rhombic,9,1,0.5942233660519379,1.0,5.9378447096561455,8,0.4718017578125,0.03925206884741783,,,,no_evaluada,
53,hexagonal1,6,0,0.5416151878102041,1.0,5.2387013339706066,6,0.676513671875,0.032101865857839584,,,,no_evaluada,
54,oblique,10,1,0.5389087643478783,1.0,3.259255809916313,3,0.58966064453125,0.03514309227466583,,,,no_evaluada,
55,oblique,12,0,0.5331999741464848,1.0,6.736813698290098,8,0.32318115234375,0.04967152699828148,,,,no_evaluada,
56,hexagonal,1,1,0.5320306054956602,1.0,3.7679439243835593,9,0.4620361328125,0.03441518545150757,,,,no_evaluada,
57,square,14,1,0.5285962913368311,1.0,2.5131097314705144,3,0.70751953125,0.0326259583234787,,,,no_evaluada,
58,hexagonal2,1,1,0.5124136920067748,1.0,4.197101916556352,6,0.57159423828125,0.027781710028648376,,,,no_evaluada,
59,rhombic,3,0,0.5094550353415194,1.0,6.682193583845452,4,0.55023193359375,0.06098117306828499,,,,no_evaluada,
60,oblique,6,0,0.48120665508225535,0.0,6.0895696401748225,7,0.36358642578125,0.03923865035176277,,,,no_evaluada,
61,square,2,1,0.4585489422751975,0.0,6.369654169497111,7,0.6551513671875,0.038649916648864746,,,,no_evaluada,
62,hexagonal2,6,1,0.4512538302970044,0.0,7.325866920085754,7,0.55316162109375,0.036581262946128845,,,,no_evaluada,
63,hexagonal1,1,0,0.4285084800337164,0.0,4.878885221754429,6,0.5362548828125,0.04521916061639786,,,,no_evaluada,
64,rhombic,9,0,0.4043846171087562,0.0,2.528401831178905,1,0.4888916015625,0.028119733557105064,,,,no_evaluada,
65,hexagonal1,14,1,0.3590887492691446,0.0,6.874890530789928,6,0.59271240234375,0.0314866378903389,,,,no_evaluada,
66,square,5,0,0.34504216935579857,0.0,4.292393726933856,9,0.46673583984375,0.02823333442211151,,,,no_evaluada,
67,square,7,1,0.3206268645466412,0.0,7.911749205752568,7,0.54766845703125,0.05142972990870476,,,,no_evaluada,
68,square,8,1,0.2858607783236777,0.0,10.015590526512053,8,0.4630126953125,0.08966723829507828,,,,no_evaluada,
69,square,7,0,0.2777394745490334,0.0,6.360735125831306,8,0.541748046875,0.03805941715836525,,,,no_evaluada,
70,hexagonal1,4,0,0.2736804447152317,0.0,7.988672261183585,6,0.49786376953125,0.04273510351777077,,,,no_evaluada,
71,hexagonal2,11,0,0.2702844389591613,0.0,6.581293317754169,6,0.57073974609375,0.08085674792528152,,,,no_evaluada,
72,hexagonal,11,0,0.26114928188508635,0.0,18.30299149509997,7,0.4500732421875,0.1418353021144867,,,,no_evaluada,
73,hexagonal2,4,1,0.2472455668578796,0.0,3.141276173967832,3,0.34613037109375,0.042215149849653244,,,,no_evaluada,
74,hexagonal2,11,1,0.23485962826444867,0.0,10.057118387306893,10,0.44232177734375,0.09937784820795059,,,,no_evaluada,
75,rectangular,9,1,0.23123867705749496,0.0,12.910098715848944,9,0.37579345703125,0.09696413576602936,,,,no_evaluada,
76,square,3,1,0.22016326457626964,0.0,7.8406860941801835,6,0.55706787109375,0.0671466812491417,,,,no_evaluada,
77,hexagonal,6,0,0.20986171908367543,0.0,7.881845927329395,6,0.48223876953125,0.1011156439781189,,,,no_evaluada,
78,oblique,1,0,0.20599524019647927,0.0,1.593733583499,4,0.3934326171875,0.01703602448105812,,,,no_evaluada,
79,rectangular,12,1,0.2054057440376572,0.0,4.560143261008683,4,0.46380615234375,0.04395326226949692,,,,no_evaluada,
80,hexagonal2,12,1,0.17619192373188167,0.0,6.039880692608471,5,0.31732177734375,0.04047221317887306,,,,no_evaluada,
